".id"	"name"	"longitude"	"latitude"	"issues"	"prov"	"key"	"scientificName"	"datasetKey"	"publishingOrgKey"	"installationKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"basisOfRecord"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"acceptedTaxonKey"	"acceptedScientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"infraspecificEpithet"	"taxonRank"	"taxonomicStatus"	"year"	"month"	"day"	"eventDate"	"modified"	"lastInterpreted"	"license"	"geodeticDatum"	"class"	"countryCode"	"country"	"identifier"	"recordNumber"	"catalogNumber"	"institutionID"	"institutionCode"	"locality"	"georeferenceRemarks"	"gbifID"	"occurrenceRemarks"	"occurrenceID"	"establishmentMeans"	"collectionCode"	"stateProvince"	"municipality"	"elevation"
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.635383	32.716667	"gass84"	"gbif"	"1301129670"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:37:45.911+0000"	"2017-12-15T00:22:52.595+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	2003	6	17	2003-06-17	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.406+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"4653a3b8-23f9-4236-8ea4-5d4004033fcf"	"IG 136788"	"839525"	"ITA406"	"Bioversity-SINGER"	"Sweida. Saen, on the road to Mushannef opposite of water Cistern"	"original"	"1301129670"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"4653a3b8-23f9-4236-8ea4-5d4004033fcf"	NA	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.63285	32.7	"gass84"	"gbif"	"1301129644"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:36:34.112+0000"	"2017-12-15T00:21:03.297+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	2003	6	17	2003-06-17	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.284+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"306987a7-acba-40c0-992c-4a8794967eac"	"IG 136800"	"839520"	"ITA406"	"Bioversity-SINGER"	"Sweida. Ain El Merj, on the road Kanawat towards Daher El Jebel, 5 km after Yarmouk dam-Sweida"	"original"	"1301129644"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"306987a7-acba-40c0-992c-4a8794967eac"	"NATIVE"	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.67015	32.566667	"gass84"	"gbif"	"1301129828"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:34:52.121+0000"	"2017-12-15T00:18:23.931+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	2003	6	7	2003-06-07	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.424+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"10e92641-9e66-4ab6-a2e1-2c923e3d9854"	"IG 139285"	"839508"	"ITA406"	"Bioversity-SINGER"	"Sweida. 20 km from Sweida towards Salkhad"	"original"	"1301129828"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"10e92641-9e66-4ab6-a2e1-2c923e3d9854"	NA	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.641333	32.733333	"gass84"	"gbif"	"1301129674"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:40:13.912+0000"	"2017-12-15T00:26:47.822+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	2002	6	20	2002-06-20	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.496+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"749b5fd7-7b57-46f4-b1fc-972053d6957d"	"IG 135424"	"839526"	"ITA406"	"Bioversity-SINGER"	"Sweida. 3 km E of Kanawat villagetowards Mushannef at the Al Sayegh site"	"original"	"1301129674"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"749b5fd7-7b57-46f4-b1fc-972053d6957d"	NA	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.611633	32.65	"gass84"	"gbif"	"1301129620"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:34:29.001+0000"	"2017-12-15T00:17:46.524+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	2002	6	20	2002-06-20	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.370+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"09709778-4b93-470b-a205-467a54fdf871"	"IG 135428"	"839516"	"ITA406"	"Bioversity-SINGER"	"Sweida. 1 km N of Sahwat el Bilateh, site of Agrobiodiversity"	"original"	"1301129620"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"09709778-4b93-470b-a205-467a54fdf871"	NA	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.758333	32.511111	"gass84"	"gbif"	"1301124255"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:44:58.545+0000"	"2017-12-15T00:34:25.843+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	1995	5	22	1995-05-22	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:41.233+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"d1575ecc-0041-4ba1-aa19-b4b63d9012ed"	"IG 116047"	"833950"	"ITA406"	"Bioversity-SINGER"	"Sweida. Opposite end sign of Arman on R on road to Salkhad"	"original"	"1301124255"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. Coordinates do not match to country in source data. Large population but much had been recently planted (?). Seeds shattered"	"d1575ecc-0041-4ba1-aa19-b4b63d9012ed"	"NATIVE"	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.588889	32.741667	"gass84"	"gbif"	"1301124171"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:39:12.890+0000"	"2017-12-15T00:25:10.203+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	1995	5	23	1995-05-23	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:41.225+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"613e3053-bfa6-4d6e-a841-e0e247f5c9ba"	"IG 116050"	"833925"	"ITA406"	"Bioversity-SINGER"	"Sweida. 4.5 km from L turn, 1km after Sweida on Sweida-Salkhad rd, on R behind vineyard"	"original"	"1301124171"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. Huge mat of plant. Seeds shattered"	"613e3053-bfa6-4d6e-a841-e0e247f5c9ba"	"NATIVE"	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.589444	32.695278	"gass84"	"gbif"	"1301124214"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:39:03.924+0000"	"2017-12-15T00:24:55.651+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	1995	5	23	1995-05-23	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:41.210+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"5e6d3ef9-6bf4-409e-a742-7dad4b3b2ec6"	"IG 116049"	"834020"	"ITA406"	"Bioversity-SINGER"	"Sweida. 1 km after end of Sweida on Sweida-Salkhad road turn L, after 1km on R"	"original"	"1301124214"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. Quite lot of grazing. Seeds shattered"	"5e6d3ef9-6bf4-409e-a742-7dad4b3b2ec6"	"NATIVE"	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	36.657778	32.843333	"gass84"	"gbif"	"1301129684"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:35:36.961+0000"	"2017-12-15T00:19:39.472+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	1995	5	22	1995-05-22	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.493+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"SY"	"Syrian Arab Republic"	"1f3a29c1-5d45-4ab6-9315-667f550fb23c"	"IG 116044"	"839528"	"ITA406"	"Bioversity-SINGER"	"Sweida. 2 km after Shahba on Shahba->Tima road on hill on R"	"original"	"1301129684"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"1f3a29c1-5d45-4ab6-9315-667f550fb23c"	"NATIVE"	NA	NA	NA	NA
"Lens_culinaris_subsp._odemensis"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	27.466667	37.883333	"gass84"	"gbif"	"1301129761"	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"07044577-bd82-4089-9f3a-f4a9d2170b2e"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"CO"	"DWC_ARCHIVE"	"2018-07-25T07:36:37.826+0000"	"2017-12-15T00:21:08.384+0000"	64	"UNKNOWN"	5634170	6	7707728	220	1370	5386	2946864	5350010	5634170	"Lens culinaris subsp. odemensis (Ladiz.) M.E.Ferguson, N.Maxted, van Slageren & L.D.Robertson"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens culinaris"	"Lens"	"culinaris"	"odemensis"	"SUBSPECIES"	"ACCEPTED"	1995	5	30	1995-05-30	"2016-04-15T21:52:45.000+0000"	"2018-12-28T00:07:42.397+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"TR"	"Turkey"	"31a1c3c7-67b8-4692-ab22-39da4bb07c41"	"IG 116010"	"839541"	"ITA406"	"Bioversity-SINGER"	"Aydin. 2 km before Ortaklar on Surjok-Ortaklar rd; 2km from provincial border to Ortaklar. Qu"	"original"	"1301129761"	"Coordinates do not match to country in source data. Coordinates do not match to country in source data. Coordinates do not match to country in source data. SYR002:"	"31a1c3c7-67b8-4692-ab22-39da4bb07c41"	NA	NA	NA	NA	NA
