".id"	"name"	"longitude"	"latitude"	"issues"	"prov"	"key"	"scientificName"	"datasetKey"	"publishingOrgKey"	"installationKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"basisOfRecord"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"acceptedTaxonKey"	"acceptedScientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"taxonRank"	"taxonomicStatus"	"elevation"	"year"	"month"	"day"	"eventDate"	"lastInterpreted"	"license"	"geodeticDatum"	"class"	"countryCode"	"country"	"catalogNumber"	"recordedBy"	"institutionCode"	"locality"	"gbifID"	"collectionCode"	"occurrenceID"	"identifiedBy"	"coordinateUncertaintyInMeters"	"stateProvince"	"modified"	"references"	"rightsHolder"	"institutionID"	"county"	"language"	"type"	"preparations"	"occurrenceStatus"	"vernacularName"	"identifier"	"acceptedNameUsage"	"informationWithheld"	"nomenclaturalCode"	"higherGeography"	"georeferencedBy"	"georeferenceVerificationStatus"	"verbatimSRS"	"datasetName"	"materialSampleID"	"parentNameUsageID"	"disposition"	"acceptedNameUsageID"	"ownerInstitutionCode"	"datasetID"	"samplingProtocol"	"bibliographicCitation"	"accessRights"	"collectionID"	"higherClassification"	"parentNameUsage"	"dateIdentified"	"dataGeneralizations"	"municipality"	"associatedReferences"	"taxonID"	"occurrenceRemarks"	"nameAccordingTo"	"footprintWKT"	"footprintSRS"	"rights"	"continent"	"individualCount"	"elevationAccuracy"	"habitat"	"verbatimEventDate"	"otherCatalogNumbers"	"identificationID"	"locationAccordingTo"	"verbatimElevation"	"recordNumber"	"verbatimLocality"	"verbatimCoordinateSystem"	"establishmentMeans"	"georeferenceRemarks"	"depth"	"depthAccuracy"	"fieldNotes"	"identificationRemarks"	"organismQuantity"	"eventID"	"fieldNumber"	"eventRemarks"	"higherGeographyID"	"organismQuantityType"	"coordinatePrecision"	"georeferencedDate"	"georeferenceProtocol"	"parentEventID"	"georeferenceSources"	"endDayOfYear"	"startDayOfYear"	"identificationVerificationStatus"	"infraspecificEpithet"	"organismRemarks"	"identificationQualifier"
"Lens_nigricans"	"Lens nigricans Godr."	22.4275	37.980831	"cdround,gass84"	"gbif"	"2244184667"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.992+0000"	"2019-05-24T23:51:13.482+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	1540	2018	4	28	2018-04-28	"2019-05-24T23:51:13.492+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059079"	"Willing,R. & Willing,E."	"B"	"Ano Trikala, Limni Dasiou"	"2244184667"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059079"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	22.376671	38.059441	"cdround,gass84"	"gbif"	"2244184985"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.632+0000"	"2019-05-24T23:51:13.864+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	1114	2018	5	2	2018-05-02	"2019-05-24T23:51:13.883+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059078"	"Willing,R. & Willing,E."	"B"	"SW Evrostina"	"2244184985"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059078"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	-3.495496	37.26659	"cdround,gass84"	"gbif"	"1889978024"	"Lens nigricans Godr."	"6ac3f774-d9fb-4796-b3e9-92bf6c81c084"	"bb646dff-a905-4403-a49b-6d378c2cf0d9"	"36cae45c-1983-48be-9cf9-0672c4a60612"	"DE"	"BIOCASE"	"2019-06-27T09:04:40.776+0000"	"2019-06-27T09:04:40.780+0000"	116	"HUMAN_OBSERVATION"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	NA	2018	5	17	2018-05-17	"2019-06-27T09:04:40.812+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"ES"	"Spain"	"2056725672"	"-78194139"	"naturgucker"	"Cañada del Sereno"	"1889978024"	"naturgucker"	NA	NA	250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	22.50889	37.281391	"cdround,gass84"	"gbif"	"2244185173"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.254+0000"	"2019-05-24T23:51:14.120+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	855	2018	5	25	2018-05-25	"2019-05-24T23:51:14.183+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059080"	"Willing,R. & Willing,E."	"B"	"SO Karyes"	"2244185173"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059080"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	22.608061	37.155281	"cdround,gass84"	"gbif"	"2244185130"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.733+0000"	"2019-05-24T23:51:14.076+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	1111	2018	5	29	2018-05-29	"2019-05-24T23:51:14.126+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059083"	"Willing,R. & Willing,E."	"B"	"NNO Agriani"	"2244185130"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059083"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	22.58889	37.288609	"cdround,gass84"	"gbif"	"2244184290"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.665+0000"	"2019-05-24T23:51:13.297+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	1158	2018	5	26	2018-05-26	"2019-05-24T23:51:13.328+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059082"	"Willing,R. & Willing,E."	"B"	"NW Mega Tourla"	"2244184290"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059082"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	22.398609	38.03611	"cdround,gass84"	"gbif"	"2244184771"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.360+0000"	"2019-05-24T23:51:13.758+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	1309	2018	5	2	2018-05-02	"2019-05-24T23:51:13.766+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059077"	"Willing,R. & Willing,E."	"B"	"S Evrostina"	"2244184771"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059077"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	22.565001	37.235561	"cdround,gass84"	"gbif"	"2244185221"	"Lens nigricans Godr."	"85714c48-f762-11e1-a439-00145eb45e9a"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"60454014-f762-11e1-a439-00145eb45e9a"	"DE"	"BIOCASE_XML_ARCHIVE"	"2019-05-29T11:32:28.731+0000"	"2019-05-24T23:51:14.190+0000"	84	"PRESERVED_SPECIMEN"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	1210	2018	5	27	2018-05-27	"2019-05-24T23:51:14.209+0000"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"B 10 1059081"	"Willing,R. & Willing,E."	"B"	"SO Vamvakou"	"2244185221"	"Herbarium Berolinense"	"http://herbarium.bgbm.org/object/B101059081"	"E.Willing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Vicia nigricans (M.Bieb.) Coss. & Germ., 1861"	11.378271	43.148646	"bri,cudc,gass84,gdativ"	"gbif"	"2269054276"	"Vicia nigricans (M.Bieb.) Coss. & Germ., 1861"	"5445131a-b491-44d8-9974-3ec52bde0c47"	"c1b1455b-18ec-4637-9e0f-18cb0524b7ed"	"f90451b7-1ce7-4105-96f3-29c0ae779a23"	"IT"	"BIOCASE_XML_ARCHIVE"	"2019-06-28T17:21:48.438+0000"	"2019-06-21T16:57:53.741+0000"	91	"UNKNOWN"	7728924	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Vicia"	"nigricans"	"SPECIES"	"SYNONYM"	NA	2018	NA	NA	2018-01-01	"2019-06-21T16:57:55.004+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"IT"	"Italy"	"331580"	NA	"BIO-UNIPI"	NA	"2269054276"	"WIKITOS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lens_nigricans"	"Lens nigricans Godr."	24.771738	40.967136	"cdround,gass84"	"gbif"	"1580139840"	"Lens nigricans Godr."	"6ac3f774-d9fb-4796-b3e9-92bf6c81c084"	"bb646dff-a905-4403-a49b-6d378c2cf0d9"	"36cae45c-1983-48be-9cf9-0672c4a60612"	"DE"	"BIOCASE"	"2019-06-27T08:53:01.122+0000"	"2019-06-01T22:25:13.992+0000"	116	"HUMAN_OBSERVATION"	5350015	6	7707728	220	1370	5386	2946864	5350015	5350015	"Lens nigricans Godr."	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Lens"	"Lens nigricans"	"Lens"	"nigricans"	"SPECIES"	"ACCEPTED"	NA	2017	5	10	2017-05-10	"2019-06-01T22:25:14.067+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"GR"	"Greece"	"-915038824"	"-42911517"	"naturgucker"	"UTM25_35T_0300_4525"	"1580139840"	"naturgucker"	NA	NA	250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
